0,1,2,3,4,5,6,7,8,9
IL27RA,CEP68,IFI30,SWAP70,PRR5,BLVRA,ARPC5L,SAT1,ODC1,STMN1
LDLRAP1,FUS,IFITM3,IGLL5,LITAF,ARRB2,PDIA3,S100A6,TPM1,UBE2D2
NDUFA12,MINA,C1orf162,SNX29P2,ZAP70,MAFB,ZAP70,PHACTR1,PGRMC1,H2AFY
PPP1R2,XXbac-BPG299F13.17,TNFSF13B,ADAM28,PLEKHF1,BLOC1S1,LITAF,IGSF6,SNCA,PSMC4
GPR171,GIMAP4,ALDH2,LAT2,C9orf142,C5AR1,NCR3,CD1C,LAMTOR1,ARPC1B
TCEAL8,NAP1L4,ASGR1,ARHGAP24,PTGDR,TNFRSF1B,SAMD3,RAB7A,MMD,PSMA1
RORA,FHL1,FPR1,LIMD2,SRGN,FCGRT,GPR56,C1orf162,PTGS1,SRP9
SRP9,CCDC66,LINC00936,MZB1,CD160,TNFSF10,HAVCR2,IFI30,DYNLL1,HDGF
UBE2D3,LRBA,IGSF6,C16orf74,GYG1,OAS1,PLEKHF1,SERPINF1,F13A1,LMAN2
PRNP,LYRM4,CNPY3,PRKCB,RORA,NCF2,PTGDR,GSN,TSC22D1,PCMT1
DENND2D,RP5-1073O3.7,FOLR3,PPP1R14A,GNLY,TNFSF13B,C5orf56,SNX3,LY6G6F,MMADHC
REXO2,PITPNA-AS1,PLBD1,SNX3,GPR56,SNX3,ABI3,IL1B,CMTM5,IDH2
NOP58,PTPRCAP,SMCO4,FCRL2,CDC42EP3,GSTO1,CCL3,MS4A6A,GP1BA,HNRNPM
GTF3A,CGRRF1,APOBEC3A,IGJ,JAKMIP1,CD48,FCRL6,ENHO,RP11-367G6.3,CARHSP1
CD247,FKBP5,SERPINB1,BTK,TMED4,STX11,CD160,PLD4,GAS2L1,LBR
NAP1L4,DUS3L,STX11,PLD4,CPNE2,FCGR2A,RAMP1,ATP5A1,SRGN,GSTP1
KRT1,ITM2A,S100A12,RPL22L1,HSP90AA1,CAP1,C9orf142,ALDH2,PARVB,ITPA
PNRC1,LRRC8C,BLVRA,RP5-887A10.1,MFSD10,CAPZB,KLRC1,TMEM219,TALDO1,PSMB6
RP11-589C21.6,MAGEH1,CCL3,TNFRSF13C,PDIA3,TALDO1,PSMB8,TPM4,GSN,GSTO1
AKTIP,THYN1,HLA-DPA1,GUCD1,RAB9A,UBE2L6,CAP1,CNPY3,MARCH2,ODC1
HNRNPH3,CHD2,ATP6V1F,PARP1,GIMAP4,PSMA7,PRMT2,RGS1,C2orf88,SIVA1
SUCLG2,ABI2,HLA-DMA,BACE2,PILRB,H2AFY,KIR3DL2,SUMO3,CLEC1B,EWSR1
TERF2IP,ARRDC3,IL8,C15orf57,GIMAP5,GRN,ITGB7,ID2,AC147651.3,DNAJC2
ATP6V0E2,PRAF2,VAMP8,CD82,BUB3,DOK2,S100B,PPIB,SCGB1C1,PPP2CA
ATF7IP2,AP3M2,LAMTOR1,RP11-428G5.5,STK17A,C20orf27,KLRB1,NCF2,PLA2G12A,ARPC5L
TMEM14B,USP20,H2AFY,NT5C,XCL2,CAPZA2,PPIB,ATP6V1F,RBBP6,HDAC1
FAM107B,RP11-314N13.3,IL1B,KIAA0040,IDH2,IGSF6,SERPINB1,CTSS,CLDN5,POLR2E
UBE2D2,UBIAD1,HLA-DPB1,RNASEH2B,TMBIM6,RXRA,CYB5B,ATP5C1,HGD,MTCH2
UBAC2,GIMAP2,GCA,ZNF92,PRSS23,CTD-2006K23.1,ARPC4,NPC2,C6orf25,MCM3
ZAP70,PLEKHA1,FCGR1A,DRAM2,GPR171,LINC00936,LYAR,TNFSF13B,MFSD1,MRPL51
ATP5A1,NEMF,FGL2,SELL,ORAI1,BTK,TMEM50A,RNF181,DMTN,PRDX1
PPP6C,ZNF626,MAFB,PHACTR1,CAPN12,SMCO4,BTN3A2,TNFAIP2,MAP3K7CL,SLC25A11
SELL,AKTIP,TNFAIP2,PCDH9,RCHY1,MARCKSL1,GSTP1,MT-ND5,NT5C3A,CRELD2
RGS1,ZCCHC11,SAT2,CAMK1D,SNRPB,VAMP5,GNPTAB,PRDX3,MCUR1,RNASEH2B
LITAF,RP11-527L4.5,JUND,CD1C,DGKZ,LAMTOR5,KIR2DL3,CCT4,TMEM140,SNX5
SSBP1,C16orf54,FCGR2A,SCPEP1,CDC37,ZYX,SCP2,DDAH2,TMEM91,AHSA1
ICAM2,CCND2,C5AR1,P2RY10,HDAC1,CSNK2B,RCN2,LGALS3,TMEM50A,PPIB
CD82,RP11-138A9.2,GSTO1,KCNG1,HNRNPM,UQCRC1,FLOT1,TALDO1,UBAC2,RBM3
SRSF3,RIOK2,DYNLT1,PAX5,DENND2D,ATP6V1F,PSMC4,CSNK2B,RP11-879F14.2,PHPT1
CCNG1,TBCK,G0S2,PAWR,CAP1,SH3BP1,LAT2,SAT2,FSTL1,PYCARD
STK17A,PHF12,ARRB2,GGA2,ECSIT,ATP6V0E1,STK17A,C16orf13,FAXDC2,DTYMK
RP11-18H21.1,LTV1,OSCAR,MACROD2,RNF125,SELPLG,SH2D1A,SDHB,C19orf33,RBM39
C14orf1,KIAA1430,TMEM205,ODC1,BTN3A2,DYNLT1,DEF6,ALKBH7,ESAM,RNF139
UBB,STX16,SCPEP1,RP11-164H13.1,TMEM50A,GSTP1,TIGIT,PPT1,HIST1H2BJ,NDUFA2
XPOT,TKTL1,C20orf27,CHI3L2,MT-ATP6,NAPRT1,KLRG1,OSTC,ITGB3,MRP63
PSMD14,DNMT3A,RETN,AL928768.3,UBB,IFI35,PTPN7,DNAJC15,SNX3,ISOC2
TCP1,BBC3,ATP5D,AIM2,ACAP1,PRDX1,PILRB,RBM39,ALOX12,EXOSC8
EIF5B,PAXIP1-AS1,ZNF467,CDC40,TMCO1,CASP4,HBA1,IFITM3,GSTO1,SELL
IFI27,RUNDC1,TNFSF10,DAPP1,TERF2IP,FPR1,CAPZB,PQBP1,SENCR,CAP1
RNF139,MRPL1,TMEM219,RASGRP2,GADD45B,MPP1,RBM39,UBE2L6,VDAC3,FH
NSA2,C9orf37,NAPRT1,ARL4A,NPRL2,CAT,GIMAP7,YWHAE,MPST,SLBP
THEM4,SLFN5,RILPL2,COQ7,CLIC3,RNF181,HENMT1,ATP5D,FHL1,ATP5C1
BOLA3,C16orf58,ZYX,CPNE5,PPIB,APOBEC3B,DENND2D,GSTO1,CST3,SUMO3
CCT7,ADPRM,CRTAP,CEPT1,C5orf56,SERPINB1,HSP90AA1,PLBD1,SLC40A1,NUDT5
CCND2,TMX3,SMARCD3,TNFRSF17,FAM63B,SMS,TBCB,HAVCR2,STX11,ATXN10
ANAPC16,IL23A,UBE2D1,ANAPC16,TOR1A,RELT,RALY,RBM3,XPNPEP1,RASGRP2
CD48,IL24,GRB2,IL6,PCSK7,LSM6,CTBP2,C12orf45,VAPA,TERF2IP
WTAP,RBM48,FCGR1B,EIF1AY,POLR2K,ACTR2,CD47,MPC2,PACSIN2,APOBEC3G
RIC3,ST3GAL2,TREX1,RABEP2,GNPTAB,DYNLL1,RAB7A,FGL2,AGPAT1,CD47
CTA-29F11.1,CITED4,UBE2L6,STK17A,TARSL2,IFIT1,NCR1,BLNK,PDZK1IP1,EIF5B
MRPS33,SPIRE2,RAB34,ADD1,ARL6IP5,SDHB,CAPN12,BLOC1S1,CTTN,TMCO1
AP3M2,RABL2B,TNFRSF1B,EBF1,STOML2,CNPY3,CCDC12,CRTAP,PVALB,TPM4
LSM14A,ZNF567,PTAFR,ITSN2,PDCD1,OSCAR,SDHAF2,PHPT1,ARHGAP6,GLRX3
DEF6,TRUB2,IL17RA,ACADM,XCL1,CNIH4,SELL,RTFDC1,ANKRD9,ATP5SL
CCT4,CTD-2015H6.3,CASP4,FAM212A,CLEC2B,SCPEP1,GSN,PPP1R14A,ABCC3,SRM
ATAD1,FLJ00104,RNF7,EIF1B,SRP9,EPN1,PTGDS,GADD45B,TSPAN33,NOL7
ACAT2,GALT,UQCRC1,NEIL1,MMADHC,G0S2,LGALS1,ARRB2,GMPR,LSM14A
TRIM69,NPHP3,SGK1,BBX,STMN1,ATP5C1,F2R,CAT,TMEM219,HINT1
GALT,RP11-111M22.3,LTB4R,NEMF,YWHAB,ARAP1,TERF2IP,ABI3,LDLRAP1,CDC123
CISH,TCEAL4,IER3,SIAH2,MLLT6,SNX10,LAIR1,MBOAT7,HIST1H2BD,PRDX3
PIK3R1,API5,MYADM,RIC3,WTAP,C1QA,DOK2,MYADM,ACADVL,TIMM17A
EMB,DEXI,HLA-DMB,SYVN1,ZBP1,GNS,SNAPIN,ETHE1,SPOCD1,ECHS1
MAGEH1,SLC40A1,BLOC1S1,RELB,CD96,NCKAP1L,SRSF3,CLNS1A,GATA2,C14orf166
OSTC,CBX5,PPT1,ACBD3,ALKBH4,PSMB8,RMDN3,TBCB,ATP9A,ACTR2
PPP2CA,S100B,VAMP5,HDAC9,BTN3A1,PPT1,RNF213,STK32C,ENKUR,DEF6
DIMT1,EFCAB14,RXRA,NFATC1,DEXI,IDH3G,CARHSP1,IRF8,LGALSL,CNPY3
KIF5B,WDR91,MBOAT7,SNX10,NDUFAF4,SH3GLB1,SPPL2A,SNRPB,SMIM5,LYAR
EXOSC8,FZD3,PSMA7,ATP10D,ITSN2,RAB7A,LIMD2,C17orf62,PRKAR2B,JTB
PRDX1,NMNAT3,CD93,ICOSLG,ITGB7,RER1,PLEKHA1,TMEM205,GFI1B,POLR3K
BUB3,RPUSD2,NRGN,LINC01013,AHSA1,ATP5D,SH3GLB1,CTNNBIP1,ERV3-1,EBNA1BP2
RFC1,ILF3,RNF181,FAM96A,FAM173A,MT-ND5,MVD,BTK,SPHK1,HSPB11
CYB5B,C12orf45,PLA2G7,SLC50A1,MT-ND5,ADAP2,FERMT3,TAF10,GTPBP2,NOP58
RRS1,SLC39A14,TNFRSF1A,RP11-102N12.3,CDKN2A,CD79B,ACP1,MRPL41,SERPINE2,FKBP3
RP11-70P17.1,TIMM10B,CYP27A1,LUC7L3,ELOVL4,UBXN1,MAF1,FAM173A,ST3GAL3,FAM96B
CLYBL,CAMK2G,TXNDC17,TCF12,P2RY10,CORO1B,PRR5L,SAMD9L,CTNNAL1,UBB
MOCS2,RNF125,IFI35,PWP1,COL6A2,PSMB6,DERL1,TMEM208,MBNL1-AS1,MKKS
TRIP11,MTERFD1,PPIF,DENND5B,PRNP,SMPDL3A,RNF125,TOMM40,HEXIM2,MFF
SLFN5,FN3KRP,PARL,MRPS18A,SPON2,TBCB,MAP3K8,DYNLL1,DIAPH1,ACADM
WIBG,TMEM177,GSN,ZNF718,HSPB11,IDH2,AATF,IGFBP7,RPS19BP1,ATP5O
CSNK1A1,DENND2D,MYO9B,GNG3,PCNX,ICAM2,PDZD11,ZYX,COTL1,YWHAE
SF3B1,OSBPL7,SF3B5,MAP3K8,COMMD8,BCL2A1,PPIE,PFDN2,SYTL4,HNRNPH3
LPIN1,SNHG12,SRA1,NT5C3A,DCAF5,RILPL2,TMBIM6,CLEC4C,SAMD14,OLA1
PYGO2,THEM4,SNX3,GRAP,STX18,SNX5,MRPS12,MPST,TDRP,TMEM138
AGA,SUCLG2,MPST,PHF14,TSPAN15,TXNDC17,ARL6IP5,PRKCD,MT-ATP6,RFC2
ZC3H15,RP11-421L21.3,CD163,METTL21A,SMARCA4,TREX1,CCL4L1,MED28,SEPT4,OSTC
FNTA,PCNX,DOK2,ZCCHC10,SRSF3,LMAN2,LMAN2,MLEC,DAPP1,DNAJA1
POLR3E,MTERFD2,MPP1,BLCAP,TMED5,NDUFA2,CSNK2B,NCKAP1L,RSPH9,PSMG2
GBP1,MCF2L,APOBEC3B,PNPLA8,STX4,SRA1,SSBP3,NAPRT1,NT5M,CTNNBL1
NUDT16L1,LIMD2,SNX10,NEK8,DIDO1,DNAJA1,PLEKHJ1,YWHAB,TGFB1I1,MRPS33
SAMSN1,RCL1,EMILIN2,SKAP2,USP19,ABRACL,SNX17,CAP1,TNS1,CCT4
ATP5H,RNF14,DYNLL1,RBBP6,BZRAP1-AS1,CCDC12,ABCB1,IDH2,RP11-142C4.6,CBX5
GGNBP2,ACOT13,ID2,TCL1B,FAM43A,ARHGDIA,ZNF276,NDUFC2,C1orf198,SMC2
HERPUD2,LUC7L3,NDUFB10,CHD2,GPKOW,CMTM7,TMEM141,GUSB,PLA2G4C,SF3B5
ING5,PGM2L1,CXCL2,UIMC1,DERL1,ID2,FAM96B,SMIM12,SH3BGRL2,STRA13
GIT2,FXN,PHPT1,RP11-727F15.9,PRMT2,RASGRP2,CLEC2B,SRSF3,EGFL7,PPA2
VAPA,TAF1D,AP003733.1,MYCBP2,RCN2,TNNI2,KLF13,SRP72,ARG2,RER1
DPY30,URB2,OAS1,TCEA2,MOB2,PLAGL2,LUC7L3,LINC00936,AC092295.7,ILF3
VDAC3,ENTPD3-AS1,QSOX1,RP11-960L18.1,VPS13A,ARPC4,MFSD10,C9orf142,LINC01003,TMEM50A
DNAJB14,ZMAT3,TPD52L2,DDAH2,RGS14,GPX1,HNRNPM,CAPZA2,TBXA2R,CAPZB
RBM4,ANKS1B,PRKCD,JAZF1,ELL,CKS1B,SNRNP35,FKBP5,KIFC3,ARPC4
GLRX3,BGLAP,CTNNBIP1,MARCKSL1,GTF3A,POLR3K,JAGN1,FKBP3,MICU1,MAF1
NKTR,RP11-349A22.5,GBGT1,MRVI1-AS1,VDAC3,RNF213,ARHGDIA,DDT,FAM212A,THYN1
TMBIM6,SCAPER,TMEM91,7SK-2,BAG5,GCA,STMN1,PSMB8,GABARAPL2,HLA-DPB1
CCDC22,NARG2,IGFBP7,ZCCHC11,MGMT,RASGRP4,C17orf62,OLA1,CAPZA2,FNBP4
USP5,IDUA,ALDH1A1,SMCHD1,ADAM10,MYO9B,C1orf162,SERPINB1,PRUNE,NDUFA12
SPSB2,RP11-589C21.6,SMS,TAF1D,SLC25A12,MLX,ARL2BP,BABAM1,RABIF,EIF5
SLC40A1,SIN3A,GALK1,MFF,KIFC3,TNFAIP2,WHAMM,ISOC2,GGA3,TMEM208
CSRNP1,UBE2D2,PRKACA,TREML2,NXT2,SMAP2,CRELD2,IFI44,PRKCD,THUMPD3
SH2D1A,SERPINE2,TMEM14C,ZNF397,STUB1,DOK3,SPTSSB,ILF3,IL1B,SUCLG2
CYB561,IFFO1,ADAP2,LINC00494,PURA,CTNNBL1,ACAT2,RNF7,F11R,CASP4
SEPHS2,RGS14,GMPR,RP11-219B4.7,ACD,PRDX3,NFU1,TMEM55A,MRE11A,LGALS1
KARS,SAMD4B,MARC1,ATG4C,F2R,PHPT1,IFT20,PRKACA,DOK2,GGNBP2
IL16,MED30,RGS18,RP5-821D11.7,RAB6B,ATP5H,DNAJA1,DAPP1,ARHGAP18,TMBIM4-1
HNRNPM,RDH14,HBEGF,MIS18BP1,DOCK10,TMEM189,MOB2,PAFAH1B1,TBC1D15,PHF5A
FBXO21,GRAP,IFIT2,AC113189.5,HENMT1,DDAH2,ASB8,GALK1,KCNK6,PSMA7
SRPR,OAT,IDH3G,ZBED5-AS1,ISOC1,LYPD2,LBR,EIF2B1,SUMO3,COMMD4
RNF113A,FLJ27365,COLGALT1,PRICKLE1,ARL16,MYADM,DIAPH1,SCP2,CCNG1,MVD
UBA5,NNT-AS1,ETHE1,DNAJC10,PSMB8,YWHAE,NT5C,SNX5,PPP1R14A,PPIF
MLLT6,PPIE,SDHB,ZNF493,MESDC2,SLC39A1,RORA,NOC4L,DCAF8,RPL22L1
C14orf166,MPHOSPH10,PARVB,CCDC91,TMEM242,PRKCD,NDUFB8-1,LILRA4,UNC45A,TBCB
LARS,TRIM14,CSNK2B,UTP6,DNAJB14,TNFRSF1A,TMBIM4-1,SNRNP27,BTK,DHX15
EWSR1,C6orf25,KCNK6,SMAP2,CYB561,RBM3,VDAC3,FAM120A,TCTA,ACP1
C4orf3,GRPEL1,TMEM208,TMEM80,HERPUD2,GUSB,EAPP,FCN1,CRLS1,ATP5H
OCIAD1,ZNF75A,MFSD1,EML6,MRPL43,RNF7,KCTD10,FERMT3,ICAM2,LITAF
PRKACB,ANAPC16,CHN2,METTL8,PGM1,TMBIM4-1,TRPV2,TMEM14C,VPS28,UBE2C
MRP63,SPG20,CLEC10A,IRF9,SPRY1,PPP2R3C,BBC3,PPP2R3C,TNNI2,PLEKHJ1
CCDC66,AGPAT1,NUMB,NR2C1,PDHB,ZNF593,MESDC2,ZNF593,PKIG,MED30
TMEM116,TRPV2,CORO1C,SAMD9L,CCL4L1,FAM32A,RBCK1,RBPJ,ATP6V1F,TM7SF3
ACP1,YIPF5,MID1IP1,IDH1,NFU1,C1QB,LPGAT1,NKIRAS2,PTAFR,UBE2D3
SLBP,PPP1R2,NDUFA2,AEBP1,RP4-612B15.3,OAS3,TIMM22,ACTR2,ZYX,CSNK1A1
MLLT11,DRAXIN,PLCB2,BLM,CWC27,MT-ATP6,ICAM2,PITHD1,ACP1,LRRC59
FNBP4,CAMK2N1,TNNI2,MZT1,OCIAD1,PLD4,MNAT1,PSMA1,WDR55,CCT7
VPS13C,ACTL6A,SNCA,CTC-378H22.1,CPSF3L,NCOA4,B4GALT4,LAMTOR5,UIMC1,UBE2L6
CAPZB,HOOK2,RASGRP4,RP11-421L21.3,TMEM62,IFIT2,TINF2,SPIB,C17orf59,SDHB
UBIAD1,SIRT6,DENND5A,PLRG1,FUS,DESI1,PSMA7,ITGB7,DYNLL2,VDAC3
OLA1,WDR44,ARAP1,TTC14,TAF12,APH1B,ADD1,UQCRC1,SPG20,GPS1
CD47,WHAMM,RARA,RP5-1028K7.2,FAM107B,LAIR1,CIAPIN1,HINT1,MADD,CHMP4A
SMDT1,ZFYVE28,SMAP2,CKS1B,TNFRSF25,MARCH2,YES1,KCNK6,SRSF6,CSNK2B
ZNF32,CHPF2,CD37,BNIP2,IL16,HLA-DQA1,BTN3A1,GABARAPL2,TAL1,GARS
YTHDF2,YPEL2,ALKBH7,CXXC1,RP11-66N24.3,RETN,AC010642.1,HDAC9,RP4-781K5.2,PARVB
RP5-1073O3.7,CCNG1,ZNF106,HOOK2,SMCHD1,YWHAB,TNFRSF1A,MTCH2,HDGF,CWC15
CWC27,LRIG2,FRAT1,KPNA1,CLIP1,RAB2A,AHSA1,PACSIN2,RAB6B,FAM32A
C12orf10,PPP1R8,MT-ATP6,ERV3-1,TAPBP,KLF11,PHPT1,MFSD1,PRKCB,FBXO7
XRRA1,ADSL,JTB,LINC00662,COPS4,HDLBP,IFI35,LTV1,PBLD,RAB7A
MALT1,ZNF276,SKAP2,SDCCAG8,XRRA1,MIS18BP1,RAB8B,GLTP,TTC30A,RPN2
ARF4,VIPR1,NKIRAS2,TAPBP,RRS1,CD37,DYNLL1,CCDC22,PLBD1,GABARAPL2
PPIG,ZNF682,YWHAE,TASP1,SLA,PRKCB,PCSK7,USP33,C4orf3,LRBA
ITGB7,SCAI,ATP5H,ANKAR,CISD1,CORO1C,MRPL51,RAB1B,HOMER2,ACAT2
FKBP3,TTN-AS1,GPR35,ANKRD54,HMBOX1,VPS28,SRPR,TRAPPC3,UBE2C,MPC2
VPS26B,ISOC1,GAS2L1,MAF1,RNF113A,RALY,CCDC69,ZNF467,EML6,LSM6
PSMG2,SAMD12,IFI44,RP11-219B17.1,FOPNL,TMEM141,CLSTN3,CTA-29F11.1,THBS1,NUDT1
SLC4A7,USP33,SPHK1,ZNF45,GOSR2,OTUB1,SF3B5,TXNDC17,MCF2L,THOC7
ATXN7L3B,URGCP,FAM127A,BCDIN3D,OSTC,FERMT3,RPS19BP1,STX18,ZNF841,MPV17
SURF6,DOCK10,BACH1,TSPAN33,RPL7L1,MRPL21,PDHB,EIF3D,BET1,TTC1
RP11-706O15.1,KIF3A,CEACAM4,ECHDC1,PRPF31,FAM127A,COMMD8,RRAGC,SNX9,NONO
SIVA1,UQCC1,CTD-2267D19.2,MYO1E,SSBP1,HLA-DMA,WDR55,POLR2E,RAB38,C1orf35
LZTS2,RP5-894A10.2,DNTTIP1,PLD6,DPY30,SNX17,C19orf52,SNW1,CDC42BPB,C16orf80
JTB,OBSCN,NCOR2,MARCH6,CD47,MTIF3,SLC25A11,OTUB1,ZNF615,FAM107B
NARG2,TFAM,EIF2AK4,HIST1H2AC,TMEM87A,MAP3K8,RER1,ATP5O,RILPL2,TXNDC17
ZNF528,LPIN1,PHACTR1,RGL2,TNFRSF9,C4orf3,TMEM9B,RPL7L1,STX4,PAICS
HPRT1,BOLA3,DLEU7,RP11-430B1.2,ZNF263,PFDN2,TMEM165,LAT2,ATP5C1,COTL1
KIAA1430,RP11-950C14.3,CD9,PRKD2,GBP1,PCMT1,ACADVL,DNTTIP1,TRIM16L,GZMA
NDUFAF4,IP6K1,DOK3,MPP6,ARID4A,NDUFC2,FBXW4,DNASE1L3,CORO1C,SRA1
MLLT10,NSA2,IFIT1,SHOC2,ATG7,ZNF106,FN3KRP,NT5C,AL928768.3,DHX9
THYN1,C8orf44,TRPM4,TBXA2R,HMGXB4,NUDT1,GBP4,HMGXB4,RASGRP2,TCF12
NABP1,DDX17,LAT2,AP003419.16,TLE4,SIK1,PRKACB,SRA1,APH1B,RFC5
EIF3D,ZNF121,KCNE1,PAICS,PSMA1,GYG1,LYRM2,STK11IP,EOGT,HDAC2
PPA2,TRAPPC12-AS1,CTD-2006K23.1,CHD7,ALG5,PRDX4,EIF5,POLD2,PICALM,ELOF1
SNHG12,MORF4L2,MLTK,RABL2A,SYTL2,VAMP8,PCYT1A,COMMD4,C9orf3,TAF10
CCDC91,CHERP,GNS,RNF26,CEP128,ABHD5,HDAC2,ZNF503,SLC39A14,C16orf13
FUS,PDE6B,PRDX3,EIF3D,NUP54,PRKACA,ZBP1,LUC7L3,CAPZB,GZMK
XXbac-BPG299F13.17,CHD7,DNAJC7,RP11-554J4.1,ABHD17B,LAMP2,SLC35A1,MRPL21,RXRA,MCUR1
NARS,PIGL,TGOLN2,PMEPA1,TGFBRAP1,PLBD1,PRR5,STX16,BNIP2,UNC45A
PAXIP1-AS1,BOLA1,OAS3,TOP1MT,C15orf61,FCGR3B,RNF187,PSMB6,HDAC5,LAMTOR1
ISCA2,TOP1MT,TMEM55A,DDX1,KRBOX4,PITPNM1,UBE2L6,FCGR2A,TSPAN15,SMARCD1
TMED4,CECR5,ANKRD22,ZRANB3,RPN2,TLE4,RPUSD3,PDHB,JARID2,SNAPIN
RBM39,CRIP2,NAT9,ZNF75A,COLGALT2,CSRP1,CCDC115,LYPLA1,MRPL51,REXO2
CMTM7,NUDT16L1,SLC22A18AS,ZNF594,ABT1,JKAMP,MTCH2,RALY,ATP6V1D,API5
PDIA3,LIX1L,RELT,DNAJC27,CIDEB,ZMAT5,WDR45,SMDT1,BZRAP1-AS1,ANAPC4
C16orf80,MZT1,MVB12A,PPIG,SHARPIN,SNX20,MRE11A,ATP6V1C1,GOLGA1,GOT2
TMEM50A,LAMP3,RER1,CCDC12,TNFSF12,S100A8,ACADM,LIMD2,TMEM55A,DDT
GOLT1B,KLC4,VPS28,TMEM87B,MORF4L2,POLR2E,RABEP2,PRDX4,SIAH2,HMGXB4
TTC3,CTD-2302E22.4,TAF6L,MED30,TMEM222,NDUFA12,VTI1B,NCOA4,CPNE5,SNX10
PRPF31,RP11-378J18.3,CCDC69,ZNF404,FCGR3A,PSMC4,AL590452.1,PSMA7,F2R,ERI3
GIMAP2,PAICS,C1orf86,HEMK1,PPIL4,EMILIN2,CSNK1A1,SIRT6,TBCK,HLA-DRB1
YWHAB,MPP6,DRAM2,IGFBP4,RDH14,SIGLEC14,FAM43A,SF3B5,TMEM104,PRF1
TMCO1,SAFB2,IFT20,HCFC2,BBS2,EIF5,RIOK2,SKAP2,CDKN2A,RPS19BP1
API5,ZNF256,NCKAP1L,C5orf15,HBA1,ANAPC13,PPP1R8,C20orf27,CRTC1,USP5
FKBP5,AEBP1,PRRG4,MED9,ABI3,TMEM9B,RHEBL1,RELT,C1QA,PRPS2
DPY19L4,CD247,LRRK2,RP11-145M9.4,SNX5,GSTZ1,RPN2,TIMMDC1,GRSF1,CCDC124
UBE2K,SH3BGRL2,MPV17,UBE2D2,IL4I1,GLB1,SHARPIN,ZC3H15,GZMB,NAP1L4
PITPNA-AS1,ACVR2A,AGO4,FAM43A,PTPN7,RBCK1,SARS,PTCRA,HDDC3,PEX19
